Member,Link to profile,Current level,Total time on level (months),Total time as member (months),Last update,Last update timestamp,Price version timestamp,Price
Mateus da Silva Garcia,https://www.youtube.com/channel/UCvbqiXLRXc7AEZoTktsISLw,Membro VIP,0.419355,0.419355,Joined,2026-05-26T11:24:00.239-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Kiwi_Burro ,https://www.youtube.com/channel/UCDeiLtGJtBK9SjcR9MnKoaw,Membro VIP,0.419355,0.419355,Joined,2026-05-26T11:10:41.576-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
SMILE,https://www.youtube.com/channel/UCQdHWfhhoyBYeFU-6zHxBxA,Membro VIP,1.41935,1.41935,Re-joined,2026-05-26T06:03:46.156-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Victor IZM,https://www.youtube.com/channel/UCj8QtJ60ekMqmsmZvxLKfyQ,Membro VIP,1.41935,1.41935,Re-joined,2026-05-26T05:06:14.811-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Zé eu Vendo,https://www.youtube.com/channel/UCT5dWPMQLSdxj_w_xjpjqKQ,Membro VIP,4.41935,4.41935,Re-joined,2026-05-26T03:55:45.894-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Hammett,https://www.youtube.com/channel/UCH0st6n5qcsUZOw7kTVI2kw,Membro VIP,2.41935,3.41935,Re-joined,2026-05-26T00:39:11.103-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Lopes,https://www.youtube.com/channel/UCwR3wgc_6QbO5__uXHXqZkQ,Membro VIP,3.41935,3.41935,Re-joined,2026-05-25T21:19:16.483-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Igor Gomes,https://www.youtube.com/channel/UCe9oDnNb_ppX-4KZF_1tPDg,Membro VIP,0.419355,0.419355,Joined,2026-05-25T20:44:44.637-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Frisk Undertale (Real),https://www.youtube.com/channel/UCOPZuUq-JMadAM9fwkpZ_BQ,Membro VIP,1.41935,1.41935,Re-joined,2026-05-25T20:09:19.764-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Thiago,https://www.youtube.com/channel/UCnKiHfnA1P1YO_p1y8LxRuA,Membro VIP,5.41935,5.41935,Re-joined,2026-05-25T19:30:17.405-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Um Fã De Residente Evil 6,https://www.youtube.com/channel/UCAvJItR4mYWJIwepLbSnnbQ,Membro VIP,0.419355,0.419355,Joined,2026-05-25T19:03:12.822-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Anonnymus567,https://www.youtube.com/channel/UCkef5laM2g-g-TUH4By-m7g,Membro VIP,4.41935,4.41935,Re-joined,2026-05-25T18:53:42.398-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Luzardo Ribeiro,https://www.youtube.com/channel/UCB2z3IpUmWBpjQ1boNfJAjg,Membro VIP,0.451613,0.451613,Joined,2026-05-25T14:36:42.245-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
JP oficial,https://www.youtube.com/channel/UCpt45AY_t0W82AypMpor28A,Colecionador de Selos,0.451613,0.451613,Joined,2026-05-25T10:28:09.984-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
Zedrikk,https://www.youtube.com/channel/UCGisEwHHEzRJOjYxEZSem9g,Membro VIP,1.45161,1.45161,Re-joined,2026-05-25T08:59:14.722-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
PEPEDRO,https://www.youtube.com/channel/UClj5NdnmxegFOl0oMSq0ZoQ,Membro VIP,0.451613,0.451613,Joined,2026-05-25T08:27:42.496-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Mr_Remixado,https://www.youtube.com/channel/UC2dAocLx58E3vP40HJfbhGA,Membro VIP,0.451613,0.451613,Joined,2026-05-25T08:26:10.567-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
iogurtekk,https://www.youtube.com/channel/UCRmTgw9_MocCW-Fs-5tuBEQ,Membro VIP,6.45161,6.45161,Re-joined,2026-05-25T06:28:26.137-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Brux0,https://www.youtube.com/channel/UCxq8rb634tWS-Uo9uaq6poA,Membro VIP,0.451613,0.451613,Joined,2026-05-24T20:31:17.502-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Teikoell2571,https://www.youtube.com/channel/UC0Y-Qzc0MZhE668iktVftxg,Membro VIP,0.451613,0.451613,Upgraded,2026-05-24T17:23:50.021-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Eu sou Davi,https://www.youtube.com/channel/UCLY2DoQ_ENJNipInIX74Hlg,Membro VIP,0.483871,0.483871,Joined,2026-05-24T15:09:15.472-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
